1,Ilocos Norte
2,Kalinga-Apayao
3,Cagayan
4,Ilocos Sur
5,Abra
6,Mountain Province (Baguio)
7,Ifugao
8,Isabela
9,La Union
10,Tarlac
11,Nueva Vizcaya
12,Quirino
13,Pangasinan
14,Tarlac
15,Nueva Ecija
16,Aurora
17,Zambales
18,Pampanga
19,Bulacan
20,Bataan
21,Metro Manila
22,Rizal
23,Cavite
24,Laguna
25,Batangas
26,Quezon
27,Camarines Norte
28,Camarines Sur
29,Catanduanes
30,Albay
31,Sorsogon
32,Occidental Mindoro
33,Oriental Mindoro
34,Marinduque Island
35,Romblon Island
36,Masbate Island
37,Northern Samar
38,Western Samar
39,Eastern Samar
40,Palawan Islands
41,Antique
42,Aklan (Boracay)
43,Capiz
44,Iloilo
45,Negros Occidental
46,Negros Oriental
47,Cebu Island
48,Bohol Island
49,Leyte
50,Southern Leyte
51,Surigao del Norte
52,Agusan del Norte
53,Surigao del Sur
54,Zamboanga del Norte
55,Misamis Occidental
56,Zamboanga del Sur
57,Lanao del Norte
58,Misamis Oriental
59,Agusan del Sur
60,Lanao del Sur
61,Bukidnon
62,Davao del Norte
63,Davao Oriental
64,Maguindanao
65,North Cotabato
66,Davao del Sur
67,Sultan Kudarat
68,South Cotabato
69,Basilan Islands
70,Sulu Islands
71,Tawi-Tawi Islands
